PROVINCIE,GEMEENTENAAM,TYPE HOGER ONDERWIJS,INSTELLINGSNAAM ACTUEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW,2016 MAN,2016 VROUW,2017 MAN,2017 VROUW
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,57084,B Wijsbegeerte van een Bepaald Wetenschapsgebied,0,0,0,1,0,1,0,0,1,0
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56823,B Algemene Cultuurwetenschappen,7,24,12,65,14,79,18,85,19,68
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56081,B Wijsbegeerte,3,5,8,7,6,4,7,6,10,8
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56081,B Wijsbegeerte,7,1,3,2,1,1,2,2,0,0
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56034,B Geschiedenis,23,5,19,10,22,24,31,16,26,23
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,50393,B Liberal Arts and Sciences,26,49,27,61,41,63,55,126,81,128
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56827,B Fiscaal Recht,24,17,34,27,41,23,31,28,44,30
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56827,B Fiscaal Recht,0,0,0,0,0,0,5,1,2,1
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,50700,B Rechtsgeleerdheid,87,142,125,175,124,183,122,198,137,218
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,50700,B Rechtsgeleerdheid,2,6,4,10,13,9,1,10,3,7
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56553,B Gezondheidswetenschappen,31,94,24,71,25,65,10,64,33,81
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56551,B Geneeskunde,112,204,109,213,112,229,98,271,121,261
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56627,B Bestuurskunde,24,31,35,28,29,26,52,77,53,101
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56607,B Pedagogische Wetenschappen,3,73,3,74,2,55,2,52,5,46
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56604,B Psychologie,51,156,74,187,65,209,59,233,68,237
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56601,B Sociologie,11,26,12,19,9,13,8,13,4,13
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56469,B Criminologie,19,78,17,46,20,59,18,69,10,81
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,50374,B International Bachelor's Programme in Communication and Media,36,112,32,110,37,113,40,121,40,171
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56833,B Econometrie en Operationele Research,157,51,158,58,185,93,190,68,216,97
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,56402,B Fiscale Economie,46,15,37,19,43,18,32,16,40,20
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,50952,B International Business Administration,214,202,254,205,299,243,282,237,268,231
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,50950,B Economie en Bedrijfseconomie,467,209,402,179,418,186,470,224,466,229
Zuid-Holland,ROTTERDAM,bachelor,Erasmus Universiteit Rotterdam,50645,B Bedrijfskunde,419,217,357,211,335,181,414,175,491,222
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56824,B Kunstgeschiedenis,3,21,3,11,0,13,1,24,6,35
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56824,B Kunstgeschiedenis,0,0,0,2,4,6,1,5,1,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56824,B Kunstgeschiedenis,1,2,0,0,1,2,0,6,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56821,B Afrikaanse talen en culturen,1,3,0,2,0,2,1,2,0,1
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56820,B Koreastudies,5,24,2,20,6,15,6,15,4,16
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56819,B Japanstudies,18,37,15,28,14,44,19,39,13,24
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56819,B Japanstudies,0,0,0,0,0,0,1,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56818,B Chinastudies,16,26,14,33,8,21,14,24,17,15
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56818,B Chinastudies,0,1,0,0,0,0,0,1,0,1
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56809,B Italiaanse Taal en Cultuur,2,5,3,3,0,4,0,2,0,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56809,B Italiaanse Taal en Cultuur,0,0,0,0,0,0,0,1,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56808,B Franse Taal en Cultuur,3,15,3,9,1,3,2,9,2,4
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56808,B Franse Taal en Cultuur,0,0,0,0,0,0,0,0,0,1
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56808,B Franse Taal en Cultuur,0,0,0,0,0,0,0,1,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56806,B Engelse Taal en Cultuur,13,46,12,41,8,41,5,51,15,41
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56806,B Engelse Taal en Cultuur,0,3,0,4,0,3,1,2,0,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56806,B Engelse Taal en Cultuur,0,0,0,1,0,2,0,1,0,1
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56806,B Engelse Taal en Cultuur,0,0,0,0,0,2,0,0,0,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56805,B Duitse Taal en Cultuur,1,4,3,5,1,7,3,6,2,3
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56805,B Duitse Taal en Cultuur,1,0,0,1,0,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56804,B Nederlandse Taal en Cultuur,5,9,4,16,2,13,2,14,4,15
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56804,B Nederlandse Taal en Cultuur,0,0,0,0,1,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56803,B Taalwetenschap,8,22,13,27,13,18,9,22,8,27
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56803,B Taalwetenschap,0,3,0,1,1,0,0,4,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56703,B Archeologie,23,31,16,31,25,24,23,22,26,30
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56703,B Archeologie,0,1,1,1,1,3,0,3,2,7
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56123,B Oude Culturen van de Mediterrane Wereld,2,7,1,4,1,7,1,7,9,6
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56123,B Oude Culturen van de Mediterrane Wereld,1,1,0,0,0,1,0,1,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56120,B Islamstudies,1,0,0,0,0,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56099,B Zuid- en Zuidoost-Aziestudies,2,5,4,7,4,3,3,7,0,1
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56099,B Zuid- en Zuidoost-Aziestudies,1,2,2,2,1,3,1,1,3,1
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56098,B Midden-Oostenstudies,5,9,4,5,3,5,3,9,3,9
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56098,B Midden-Oostenstudies,0,1,0,4,2,1,1,3,5,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56081,B Wijsbegeerte,9,8,16,11,13,8,11,11,31,14
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56081,B Wijsbegeerte,1,0,0,0,1,3,3,0,2,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56081,B Wijsbegeerte,2,1,1,0,1,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56081,B Wijsbegeerte,0,0,0,0,0,0,1,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56055,B Nederlandkunde/Dutch Studies,3,10,0,6,1,9,3,8,1,14
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56055,B Nederlandkunde/Dutch Studies,0,1,0,0,0,0,0,1,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56052,B Latijns-Amerikastudies,3,20,3,21,2,14,1,9,2,4
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56052,B Latijns-Amerikastudies,0,0,0,0,0,0,0,1,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56034,B Geschiedenis,81,69,89,55,79,46,67,42,72,47
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56034,B Geschiedenis,9,7,6,7,7,5,2,0,1,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56034,B Geschiedenis,1,1,0,0,0,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56003,B Griekse en Latijnse Taal en Cultuur,10,16,1,14,9,11,5,10,8,12
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56003,B Griekse en Latijnse Taal en Cultuur,0,0,1,0,0,1,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50902,B Religiewetenschappen,0,0,0,5,1,0,2,6,0,4
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50902,B Religiewetenschappen,0,0,0,1,1,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50855,B Russische Studies,3,5,2,8,8,3,6,4,5,6
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50414,B Film- en Literatuurwetenschap,6,12,5,18,8,17,3,15,7,7
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50414,B Film- en Literatuurwetenschap,0,0,0,0,1,0,2,5,2,5
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50202,B Wereldgodsdiensten,3,4,0,0,0,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50201,B Hebreeuwse en Joodse Studies,0,1,0,0,0,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,59320,B Security Studies,0,0,0,0,0,0,0,0,30,16
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,59316,B International Studies,0,0,0,0,0,0,172,300,140,238
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,59316,B International Studies,0,0,130,237,149,241,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,55010,B Life Science and Technology (joint degree),0,0,0,0,0,0,0,1,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,55009,B Molecular Science and Technology (joint degree),0,0,0,0,0,0,90,43,109,46
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50429,B Liberal Arts and Sciences: Global Challenges,217,356,60,122,52,123,63,146,59,144
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50429,B Liberal Arts and Sciences: Global Challenges,0,0,0,0,0,0,1,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56828,B Notarieel Recht,5,16,9,13,7,21,17,26,15,25
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56828,B Notarieel Recht,0,0,0,0,0,0,0,1,0,1
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56827,B Fiscaal Recht,33,29,43,20,30,20,25,19,31,16
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50700,B Rechtsgeleerdheid,195,343,176,264,189,280,164,275,214,311
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50700,B Rechtsgeleerdheid,0,0,0,0,0,1,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50700,B Rechtsgeleerdheid,2,3,1,2,2,5,1,0,4,3
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50700,B Rechtsgeleerdheid,0,0,1,0,0,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,59308,B Molecular Science and Technology,26,14,37,11,76,24,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56980,B Wiskunde,28,12,4,1,34,12,34,16,27,13
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56978,B Informatica,55,6,55,6,49,7,50,6,67,13
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56860,B Biologie,50,38,63,52,52,51,49,41,50,51
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56286,B Life Science and Technology,21,28,35,28,56,50,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50207,B Bio-Farmaceutische Wetenschappen,51,101,70,101,79,147,95,131,67,128
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50206,B Natuurkunde,35,5,35,5,54,3,50,15,52,14
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50205,B Sterrenkunde,23,12,40,20,18,4,42,27,48,28
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50205,B Sterrenkunde,0,0,0,0,0,0,0,0,1,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50205,B Sterrenkunde,0,0,1,0,0,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56990,B Biomedische Wetenschappen,12,48,14,45,13,52,17,50,19,48
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56990,B Biomedische Wetenschappen,0,3,0,2,1,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56551,B Geneeskunde,73,148,90,133,89,159,70,201,92,190
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56551,B Geneeskunde,0,0,0,0,1,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56627,B Bestuurskunde,98,81,63,50,43,46,45,44,62,39
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56627,B Bestuurskunde,3,5,4,4,6,4,6,12,1,12
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56607,B Pedagogische Wetenschappen,6,130,5,111,2,73,0,70,1,74
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56607,B Pedagogische Wetenschappen,0,3,0,1,0,3,0,3,0,3
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56606,B Politicologie,106,107,105,100,107,78,100,99,207,281
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56604,B Psychologie,84,332,82,287,71,273,61,232,116,390
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56604,B Psychologie,1,1,1,8,0,3,2,3,0,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56604,B Psychologie,2,0,0,2,0,1,2,2,0,2
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56469,B Criminologie,32,79,18,80,25,79,17,89,20,122
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56469,B Criminologie,0,0,0,2,1,0,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,56469,B Criminologie,0,0,0,0,0,1,0,0,0,0
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50035,B Culturele Antropologie en Ontwikkelingssociologie,11,41,10,42,5,35,12,52,5,36
Zuid-Holland,LEIDEN,bachelor,Universiteit Leiden,50035,B Culturele Antropologie en Ontwikkelingssociologie,1,0,0,0,0,1,0,1,1,1
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,59308,B Molecular Science and Technology,54,14,43,17,45,21,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56995,B Technische Bestuurskunde,93,60,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56995,B Technische Bestuurskunde,0,1,94,57,88,53,76,54,85,55
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56966,B Werktuigbouwkunde,459,43,1,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56966,B Werktuigbouwkunde,0,1,388,49,456,57,455,59,424,41
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56965,B Technische Wiskunde,65,29,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56965,B Technische Wiskunde,0,0,46,35,69,31,77,41,69,37
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56964,B Technische Informatica,130,9,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56964,B Technische Informatica,0,0,158,14,160,8,184,19,278,27
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56962,B Technische Natuurkunde,157,16,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56962,B Technische Natuurkunde,0,0,146,32,154,28,199,45,177,23
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56959,B Technische Aardwetenschappen,63,18,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56959,B Technische Aardwetenschappen,0,0,63,32,61,16,49,20,39,21
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56957,B Maritieme Techniek,77,11,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56957,B Maritieme Techniek,1,0,85,10,68,14,51,12,60,17
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56956,B Luchtvaart- en Ruimtevaarttechniek,320,46,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56956,B Luchtvaart- en Ruimtevaarttechniek,0,2,324,52,349,50,333,64,374,36
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56955,B Industrieel Ontwerpen,153,111,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56955,B Industrieel Ontwerpen,0,0,132,130,128,118,103,131,140,166
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56953,B Electrical Engineering,111,6,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56953,B Electrical Engineering,1,0,112,10,142,8,120,10,125,9
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56952,B Civiele Techniek,251,78,1,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56952,B Civiele Techniek,0,0,256,72,208,66,189,57,254,84
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56951,B Bouwkunde,101,113,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56951,B Bouwkunde,2,1,113,120,140,147,150,158,176,187
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,56286,B Life Science and Technology,32,51,26,33,34,26,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,55003,B Nanobiologie (joint degree),30,31,0,0,0,0,0,0,0,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,55003,B Nanobiologie (joint degree),0,0,38,26,45,32,47,60,57,33
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,55010,B Life Science and Technology (joint degree),0,0,0,0,0,0,64,69,68,70
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,55009,B Molecular Science and Technology (joint degree),0,0,0,0,0,0,1,0,1,0
Zuid-Holland,DELFT,bachelor,Technische Universiteit Delft,55007,B Klinische Technologie (joint degree),0,0,29,38,20,58,25,58,31,60
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56826,B Communicatie- en Informatiewetenschappen,20,76,17,63,13,54,10,45,20,41
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56824,B Kunstgeschiedenis,5,18,4,19,1,11,2,18,3,16
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56824,B Kunstgeschiedenis,0,2,0,0,0,0,0,0,0,0
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56810,B Spaanse Taal en Cultuur,2,9,2,15,0,5,2,4,1,7
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56809,B Italiaanse Taal en Cultuur,1,2,1,7,0,1,5,4,0,0
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56808,B Franse Taal en Cultuur,1,14,5,8,5,19,3,15,5,12
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56806,B Engelse Taal en Cultuur,13,60,14,58,10,41,12,46,14,63
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56805,B Duitse Taal en Cultuur,1,6,2,5,2,7,2,11,1,5
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56804,B Nederlandse Taal en Cultuur,4,25,5,23,4,16,2,26,3,24
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56804,B Nederlandse Taal en Cultuur,0,2,0,0,0,0,0,0,0,0
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56803,B Taalwetenschap,6,20,5,16,1,17,3,21,4,13
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56802,B Literatuurwetenschap,4,15,1,9,3,11,2,11,0,14
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56801,B Taal- en Cultuurstudies,15,89,11,41,9,42,5,58,8,49
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56700,B Muziekwetenschap,7,11,14,10,8,8,2,6,6,9
Utrecht,UTRECHT,bachelor,Universiteit Utrecht,56100,B Godgeleerdheid,0,3,0,0,0,0,0,0,0,0
